artist_name,track_name,energy,danceability,instrumentalness,valence,loudness,acousticness
glenn miller,the little man who wasn't there,0.4224043834001622,0.7281490306509262,0.0375506072874494,0.570280296784831,0.6380278440119991,0.871485814744794
misfits,american psycho,0.9949948386776444,0.4779594931224954,0.000580971659919,0.0612118713932399,0.7813757916057739,0.0004789161434901
elliott smith,somebody that i used to know,0.3683486411187215,0.5711036499512618,1.022267206477733e-06,0.7815333882934873,0.53511268363972,0.4036138590500593
june carter cash,juke box blues,0.3563362539450681,0.8581176215747863,0.0006831983805668,0.8464550700741962,0.6891008383970463,0.8664657293832625
"emerson, lake & palmer","karn evil 9 1st impression, pt. 1",0.5445303196656393,0.3999783385681794,0.0043522267206477,0.6846661170651276,0.6240032817988359,0.1797180519257549
queens of the stone age,another love song,0.7537460629401037,0.339326329470378,0.0151821862348178,0.4260098928277001,0.787452247263031,0.12951719831044
adema,immortal,0.9389370318672614,0.45521498971082,0.1791497975708502,0.3796372629843364,0.7930159218521652,0.0002540163192934
the supremes,stop! in the name of love,0.4404229641606423,0.5949312249539696,0.0,0.4950535861500412,0.5893392815937235,0.5090356516422206
the notting hillbillies,bewildered,0.2322082531506489,0.4346366294812087,0.0002682186234817,0.5290601813685079,0.4664769376714611,0.8624496610940374
sticky fingers,hyper,0.8358307086267358,0.326329470377992,0.0,0.5723413025556471,0.7839653359997948,0.2851398445179162
diana krall,walk on by,0.1981731561586307,0.3869814794757933,0.0012854251012145,0.3672712283594394,0.4905520088198343,0.7018069295250298
mudvayne,dig,0.983983483768462,0.6079280840463556,0.0624493927125506,0.2549464138499588,0.823244365818014,9.558242528355952e-05
the 1975,love it if we made it,0.7517439984111614,0.4443842738004983,2.226720647773279e-05,0.0515251442704039,0.7795297797605312,0.0007018079335421
little river band,listen to your heart,0.5835705779800129,0.3880645510668255,4.240890688259109e-06,0.4868095630667766,0.6304899623105915,0.0503002513054732
johnny winter,i'll drown in my tears,0.2542309629690136,0.4389689158453375,2.8238866396761132e-06,0.3342951360263808,0.6576417198677025,0.7730921416587768
freddy fender,please don't tell me how the story ends,0.3653455443253082,0.5407776454023612,0.2125506072874493,0.4321929101401484,0.6682819270312539,0.7138551343927053
boz scaggs,love me tomorrow,0.7016923851876053,0.7346474601971191,0.0003178137651821,0.9113767518549052,0.7610183832012921,0.2078305299503312
"earth, wind & fire",build your nest,0.788782192196593,0.6469186613235136,0.0021356275303643,0.8670651277823578,0.618670358690357,0.2550193323487272
nat king cole,o holy night,0.2612381888203114,0.0577277158020145,0.0,0.1137675185490519,0.625900571750891,0.7208832538988493
santana,america (feat. p.o.d.),0.9329308382804348,0.4075598397054045,0.0002125506072874,0.478565539983512,0.8262441350665333,0.0018664677374174
ella fitzgerald,for you for me for evermore,0.168142188224497,0.1432903714935557,0.0011740890688259,0.0900659521846661,0.4916032100094863,0.9216866683601088
julian dash,blue and sentimental,0.0290988066894581,0.4573811328928843,0.4797570850202429,0.3662407254740313,0.3152065225751863,0.9648594024692796
black moon,powaful impak!,0.7537460629401037,0.7617242499729233,0.0,0.2168178070898598,0.7192523652026767,0.0399588754607183
the beautiful girls,when i had you with me,0.2642412856137248,0.6003465829091303,0.4048582995951417,0.5754328112118714,0.4594518370381763,0.7961845343218217
gucci mane,rich game,0.4934776741776118,0.7248998158778296,0.0,0.0941879637262984,0.684024305822629,0.0572279691043866
jonas brothers,before the storm,0.7407326435019792,0.3566554749268927,0.0,0.3518136850783182,0.7763505371381687,0.0088745069021153
hot tuna,99 year blues,0.4694528998303049,0.3848153362937291,0.0831983805668016,0.7712283594394065,0.5619824116093634,0.6465859905481833
jamey johnson,can't cash my checks,0.3863672218792017,0.3165818260587025,0.104251012145749,0.1622011541632316,0.6542060867112786,0.399597790760834
rosanne cash,tennessee flat top box,0.7677605146426995,0.6025127260911947,5.6781376518218646e-05,0.9690849134377576,0.6061585006281567,0.216866683601088
jaymes young,feel something,0.5905778038313108,0.5938481533629373,2.3481781376518215e-06,0.3384171475680132,0.726405661102992,0.6967868441634983
ween,cold blows the wind,0.4564394803921803,0.4086429112964367,1.6295546558704451e-06,0.2425803792250618,0.6772299566699996,0.2359430079749076
michael bublé,hold on,0.4234054156646333,0.4703779919852703,0.0,0.2415498763396537,0.726585134476835,0.278111725011772
louis armstrong,sweet savannah sue,0.3002784471346852,0.539694573811329,0.0071356275303643,0.6135614179719703,0.5773145655462399,0.9628513683246672
alejandro escovedo,i was drunk,0.7197109659480857,0.3284956135600563,0.0086943319838056,0.4548639736191261,0.7104838089377739,0.1325292495273589
muse,follow me,0.8178121278662557,0.2353514567312899,2.0344129554655873e-05,0.0624484748557295,0.7654795784939619,0.0012640574940336
ron gallo,kill the medicine man,0.8238183214530823,0.3772338351565038,0.0002176113360323,0.2683429513602638,0.7543009512088813,0.0556215417886965
david lee murphy,i could believe anything,0.730722320857268,0.7184013863316365,0.0017914979757085,0.7588623248145094,0.8109119811296567,0.0137540298735239
hank locklin,i don't hurt anymore,0.4474301900119402,0.6339218022311276,3.0364372469635627e-06,0.7042456718878812,0.6587441991641667,0.9246987195770278
half•alive,runaway,0.5945819328891953,0.6653308783710603,0.0009230769230769,0.5960428689200329,0.7709406968694715,0.0032520112972
waylon jennings,it'll be her,0.4284105769869888,0.539694573811329,0.2338056680161943,0.1591096455070074,0.6600517908878804,0.65562214419894
clinton fearon,version,0.4073888994330953,0.8147947579334995,0.881578947368421,0.7392827699917559,0.6634361459374919,0.0250994227905851
