Song_title,Artist,genre,release_date,topic,len,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
love it if we made it,the 1975,pop,2018.0,violence,80.0,6WmIyn2fx1PKQ0XDpYj4VR,0.472,0.745,4.0,-5.297,1.0,0.0356,0.000607,2.74e-05,0.0957,0.0631,180.06,audio_features,6WmIyn2fx1PKQ0XDpYj4VR,spotify:track:6WmIyn2fx1PKQ0XDpYj4VR,https://api.spotify.com/v1/tracks/6WmIyn2fx1PKQ0XDpYj4VR,https://api.spotify.com/v1/audio-analysis/6WmIyn2fx1PKQ0XDpYj4VR,252926.0,4.0
listen to your heart,little river band,country,1990.0,sadness,85.0,5n7JHKyKIJXMXXv10f1AYk,0.418,0.576,4.0,-11.106,1.0,0.027,0.0538,4.14e-06,0.111,0.489,165.73,audio_features,5n7JHKyKIJXMXXv10f1AYk,spotify:track:5n7JHKyKIJXMXXv10f1AYk,https://api.spotify.com/v1/tracks/5n7JHKyKIJXMXXv10f1AYk,https://api.spotify.com/v1/audio-analysis/5n7JHKyKIJXMXXv10f1AYk,292400.0,4.0
please don't tell me how the story ends,freddy fender,pop,1975.0,world/life,31.0,7noRPNdNTDJSHIvAl5xQL2,0.739,0.537,9.0,-10.789,0.0,0.0328,0.246,0.000688,0.0794,0.921,80.18,audio_features,67Fxvtgc3MXl2x4ryyFpw7,spotify:track:67Fxvtgc3MXl2x4ryyFpw7,https://api.spotify.com/v1/tracks/67Fxvtgc3MXl2x4ryyFpw7,https://api.spotify.com/v1/audio-analysis/67Fxvtgc3MXl2x4ryyFpw7,196858.0,4.0
love me tomorrow,boz scaggs,pop,1976.0,night/time,40.0,67Fxvtgc3MXl2x4ryyFpw7,0.659,0.788,1.0,-11.527,0.0,0.0776,0.254,0.00211,0.066,0.865,93.779,audio_features,4IMN8BxmU5Gbpz68Xw9lFw,spotify:track:4IMN8BxmU5Gbpz68Xw9lFw,https://api.spotify.com/v1/tracks/4IMN8BxmU5Gbpz68Xw9lFw,https://api.spotify.com/v1/audio-analysis/4IMN8BxmU5Gbpz68Xw9lFw,198933.0,4.0
build your nest,"earth, wind & fire",jazz,1973.0,violence,44.0,4IMN8BxmU5Gbpz68Xw9lFw,0.115,0.261,8.0,-11.245,1.0,0.0293,0.718,0.0,0.14,0.134,75.753,audio_features,4c4LylLvTh91IhwQgSXPRc,spotify:track:4c4LylLvTh91IhwQgSXPRc,https://api.spotify.com/v1/tracks/4c4LylLvTh91IhwQgSXPRc,https://api.spotify.com/v1/audio-analysis/4c4LylLvTh91IhwQgSXPRc,176227.0,5.0
o holy night,nat king cole,jazz,1962.0,night/time,50.0,4c4LylLvTh91IhwQgSXPRc,0.438,0.932,5.0,-3.431,1.0,0.0425,0.00186,0.00021,0.186,0.488,105.084,audio_features,43uplr4bhcs8FJIU5KBzB1,spotify:track:43uplr4bhcs8FJIU5KBzB1,https://api.spotify.com/v1/tracks/43uplr4bhcs8FJIU5KBzB1,https://api.spotify.com/v1/audio-analysis/43uplr4bhcs8FJIU5KBzB1,275067.0,4.0
america (feat. p.o.d.),santana,blues,2002.0,world/life,65.0,43uplr4bhcs8FJIU5KBzB1,0.194,0.168,8.0,-16.483,1.0,0.0344,0.918,0.00116,0.108,0.111,84.261,audio_features,0Y8og0cMFAwf12eW64WoYE,spotify:track:0Y8og0cMFAwf12eW64WoYE,https://api.spotify.com/v1/tracks/0Y8og0cMFAwf12eW64WoYE,https://api.spotify.com/v1/audio-analysis/0Y8og0cMFAwf12eW64WoYE,205547.0,4.0
for you for me for evermore,ella fitzgerald,blues,1959.0,world/life,33.0,0Y8og0cMFAwf12eW64WoYE,0.484,0.0291,10.0,-23.363,1.0,0.0459,0.961,0.474,0.115,0.379,98.434,audio_features,1axzRYUUASTfN4OOtrjfQd,spotify:track:1axzRYUUASTfN4OOtrjfQd,https://api.spotify.com/v1/tracks/1axzRYUUASTfN4OOtrjfQd,https://api.spotify.com/v1/audio-analysis/1axzRYUUASTfN4OOtrjfQd,389893.0,4.0
blue and sentimental,julian dash,jazz,1987.0,sadness,47.0,1axzRYUUASTfN4OOtrjfQd,0.851,0.504,11.0,-14.857,1.0,0.3,0.00431,0.000143,0.349,0.535,94.245,audio_features,63U9mJpffoQILdkb1VWDK8,spotify:track:63U9mJpffoQILdkb1VWDK8,https://api.spotify.com/v1/tracks/63U9mJpffoQILdkb1VWDK8,https://api.spotify.com/v1/audio-analysis/63U9mJpffoQILdkb1VWDK8,251440.0,4.0
powaful impak!,black moon,hip hop,2014.0,obscene,175.0,63U9mJpffoQILdkb1VWDK8,0.614,0.27,2.0,-17.655,1.0,0.0436,0.809,0.34,0.0975,0.58,142.889,audio_features,3gfwt1C4Jt7qhjpILxYUtp,spotify:track:3gfwt1C4Jt7qhjpILxYUtp,https://api.spotify.com/v1/tracks/3gfwt1C4Jt7qhjpILxYUtp,https://api.spotify.com/v1/audio-analysis/3gfwt1C4Jt7qhjpILxYUtp,183267.0,4.0
when i had you with me,the beautiful girls,reggae,2005.0,night/time,38.0,3gfwt1C4Jt7qhjpILxYUtp,0.731,0.493,10.0,-8.978,1.0,0.0648,0.057,0.0,0.105,0.115,140.056,audio_features,2qAjQGlYOllN6tll1pgmLm,spotify:track:2qAjQGlYOllN6tll1pgmLm,https://api.spotify.com/v1/tracks/2qAjQGlYOllN6tll1pgmLm,https://api.spotify.com/v1/audio-analysis/2qAjQGlYOllN6tll1pgmLm,205714.0,4.0
rich game,gucci mane,pop,2019.0,obscene,172.0,2qAjQGlYOllN6tll1pgmLm,0.401,0.715,2.0,-5.402,1.0,0.0379,0.00582,0.0,0.117,0.327,149.411,audio_features,531muHgVZoRgYXK5Qb59Pz,spotify:track:531muHgVZoRgYXK5Qb59Pz,https://api.spotify.com/v1/tracks/531muHgVZoRgYXK5Qb59Pz,https://api.spotify.com/v1/audio-analysis/531muHgVZoRgYXK5Qb59Pz,266467.0,4.0
before the storm,jonas brothers,pop,2009.0,sadness,69.0,531muHgVZoRgYXK5Qb59Pz,0.417,0.469,11.0,-13.738,1.0,0.0341,0.644,0.0822,0.121,0.772,181.072,audio_features,7GQZYw55Juuq3tntjZJzZt,spotify:track:7GQZYw55Juuq3tntjZJzZt,https://api.spotify.com/v1/tracks/7GQZYw55Juuq3tntjZJzZt,https://api.spotify.com/v1/audio-analysis/7GQZYw55Juuq3tntjZJzZt,239107.0,4.0
99 year blues,hot tuna,country,1972.0,obscene,35.0,7GQZYw55Juuq3tntjZJzZt,0.618,0.767,5.0,-12.015,0.0,0.0307,0.216,5.61e-05,0.219,0.964,97.522,audio_features,3zyj0RajXg2w2Bnn773mnW,spotify:track:3zyj0RajXg2w2Bnn773mnW,https://api.spotify.com/v1/tracks/3zyj0RajXg2w2Bnn773mnW,https://api.spotify.com/v1/audio-analysis/3zyj0RajXg2w2Bnn773mnW,195080.0,4.0
tennessee flat top box,rosanne cash,country,1979.0,music,65.0,3zyj0RajXg2w2Bnn773mnW,0.439,0.456,4.0,-9.243,0.0,0.0321,0.235,1.61e-06,0.419,0.259,121.679,audio_features,3TMxeYDa7yOKAxMUaCQWv4,spotify:track:3TMxeYDa7yOKAxMUaCQWv4,https://api.spotify.com/v1/tracks/3TMxeYDa7yOKAxMUaCQWv4,https://api.spotify.com/v1/audio-analysis/3TMxeYDa7yOKAxMUaCQWv4,267627.0,3.0
feel something,jaymes young,rock,2017.0,feelings,25.0,0vMI3AJPQMjytAu8XMWr65,0.496,0.423,5.0,-7.318,1.0,0.0282,0.277,0.0,0.105,0.258,131.682,audio_features,0Xwfq9T1CruynQcHKY1hs4,spotify:track:0Xwfq9T1CruynQcHKY1hs4,https://api.spotify.com/v1/tracks/0Xwfq9T1CruynQcHKY1hs4,https://api.spotify.com/v1/audio-analysis/0Xwfq9T1CruynQcHKY1hs4,245200.0,4.0
cold blows the wind,ween,rock,1997.0,violence,92.0,3TMxeYDa7yOKAxMUaCQWv4,0.599,0.202,9.0,-12.816,1.0,0.154,0.993,0.214,0.23,0.601,158.615,audio_features,6JkgdaqqIcisr9QNzseLCl,spotify:track:6JkgdaqqIcisr9QNzseLCl,https://api.spotify.com/v1/tracks/6JkgdaqqIcisr9QNzseLCl,https://api.spotify.com/v1/audio-analysis/6JkgdaqqIcisr9QNzseLCl,192093.0,4.0
hold on,michael bublé,pop,2009.0,romantic,60.0,0Xwfq9T1CruynQcHKY1hs4,0.37,0.719,4.0,-7.946,1.0,0.0452,0.133,0.0086,0.144,0.465,171.798,audio_features,561t8Mil2myu0i8N2Qwij4,spotify:track:561t8Mil2myu0i8N2Qwij4,https://api.spotify.com/v1/tracks/561t8Mil2myu0i8N2Qwij4,https://api.spotify.com/v1/audio-analysis/561t8Mil2myu0i8N2Qwij4,293120.0,3.0
sweet savannah sue,louis armstrong,jazz,1955.0,romantic,34.0,6JkgdaqqIcisr9QNzseLCl,0.279,0.817,3.0,-5.801,1.0,0.0586,0.00126,2.01e-05,0.141,0.0842,135.258,audio_features,6r9tjMWLv8fNdZKKTnqCEr,spotify:track:6r9tjMWLv8fNdZKKTnqCEr,https://api.spotify.com/v1/tracks/6r9tjMWLv8fNdZKKTnqCEr,https://api.spotify.com/v1/audio-analysis/6r9tjMWLv8fNdZKKTnqCEr,230920.0,4.0
i was drunk,alejandro escovedo,country,1999.0,music,46.0,561t8Mil2myu0i8N2Qwij4,0.41,0.823,9.0,-6.237,1.0,0.0655,0.0554,0.000215,0.154,0.284,90.471,audio_features,5FZtl28q6FXkuDeAWxHzjx,spotify:track:5FZtl28q6FXkuDeAWxHzjx,https://api.spotify.com/v1/tracks/5FZtl28q6FXkuDeAWxHzjx,https://api.spotify.com/v1/audio-analysis/5FZtl28q6FXkuDeAWxHzjx,153717.0,4.0
follow me,muse,rock,2012.0,violence,43.0,6r9tjMWLv8fNdZKKTnqCEr,0.728,0.713,7.0,-4.056,1.0,0.0286,0.0108,0.0026,0.0857,0.759,126.88,audio_features,7wCaeyWeyBzYbO5bxinQlM,spotify:track:7wCaeyWeyBzYbO5bxinQlM,https://api.spotify.com/v1/tracks/7wCaeyWeyBzYbO5bxinQlM,https://api.spotify.com/v1/audio-analysis/7wCaeyWeyBzYbO5bxinQlM,216360.0,4.0
kill the medicine man,ron gallo,blues,2017.0,violence,39.0,5FZtl28q6FXkuDeAWxHzjx,0.647,0.447,3.0,-9.964,1.0,0.0371,0.921,3e-06,0.146,0.707,115.166,audio_features,6avRZyfcRndnnbyPtdZQjq,spotify:track:6avRZyfcRndnnbyPtdZQjq,https://api.spotify.com/v1/tracks/6avRZyfcRndnnbyPtdZQjq,https://api.spotify.com/v1/audio-analysis/6avRZyfcRndnnbyPtdZQjq,76427.0,3.0
i could believe anything,david lee murphy,country,1997.0,obscene,64.0,7wCaeyWeyBzYbO5bxinQlM,0.676,0.594,0.0,-5.588,0.0,0.053,0.00324,0.000912,0.0645,0.602,131.922,audio_features,0Dit4xsY3yFY73b19VxsYE,spotify:track:0Dit4xsY3yFY73b19VxsYE,https://api.spotify.com/v1/tracks/0Dit4xsY3yFY73b19VxsYE,https://api.spotify.com/v1/audio-analysis/0Dit4xsY3yFY73b19VxsYE,162200.0,4.0
